Country,Year,book,cinema,concert,museum,theater
Brazil,2004,77.5,42.833333333333336,1.3333333333333333,14.083333333333334,30.916666666666668
Brazil,2005,74.08333333333333,37.25,1.3333333333333333,12.666666666666666,28.5
Brazil,2006,64.91666666666667,35.916666666666664,1.0833333333333333,11.75,27.0
Brazil,2007,58.166666666666664,33.333333333333336,1.0,9.666666666666666,26.5
Brazil,2008,61.666666666666664,32.166666666666664,1.0,8.583333333333334,25.166666666666668
Brazil,2009,68.0,36.333333333333336,1.0,8.666666666666666,22.833333333333332
Brazil,2010,67.16666666666667,41.583333333333336,1.3333333333333333,6.75,21.166666666666668
Brazil,2011,60.583333333333336,40.833333333333336,1.25,5.5,18.25
Brazil,2012,57.833333333333336,40.833333333333336,1.0,5.583333333333333,17.083333333333332
Brazil,2013,60.833333333333336,40.916666666666664,1.0,5.166666666666667,14.833333333333334
Brazil,2014,62.916666666666664,45.083333333333336,1.0,5.5,14.416666666666666
Brazil,2015,66.75,51.25,1.0,6.083333333333333,13.916666666666666
Brazil,2016,63.333333333333336,50.916666666666664,1.0,6.0,12.083333333333334
Brazil,2017,59.916666666666664,53.75,1.0833333333333333,6.416666666666667,12.083333333333334
Brazil,2018,60.25,47.916666666666664,1.0833333333333333,7.416666666666667,11.0
Brazil,2019,57.0,54.25,1.3333333333333333,8.083333333333334,10.583333333333334
Brazil,2020,55.0,17.166666666666668,1.1666666666666667,4.416666666666667,5.083333333333333
Brazil,2021,52.833333333333336,20.166666666666668,1.3333333333333333,4.583333333333333,5.416666666666667
Brazil,2022,59.75,30.833333333333332,1.5833333333333333,7.0,8.0
Brazil,2023,59.416666666666664,38.833333333333336,2.0,7.916666666666667,8.583333333333334
Brazil,2024,61.916666666666664,38.916666666666664,1.75,7.5,8.333333333333334
Brazil,2025,62.6,31.6,2.0,6.6,7.4
Canada,2004,29.333333333333332,57.083333333333336,60.666666666666664,19.583333333333332,17.916666666666668
Canada,2005,29.0,60.166666666666664,70.08333333333333,18.333333333333332,14.583333333333334
Canada,2006,27.5,57.5,59.333333333333336,17.083333333333332,13.583333333333334
Canada,2007,28.416666666666668,55.5,60.0,18.083333333333332,12.166666666666666
Canada,2008,29.583333333333332,52.416666666666664,61.75,16.583333333333332,10.916666666666666
Canada,2009,29.416666666666668,49.5,68.0,14.833333333333334,9.583333333333334
Canada,2010,27.75,41.25,62.916666666666664,13.833333333333334,8.75
Canada,2011,33.666666666666664,51.833333333333336,56.166666666666664,14.25,9.083333333333334
Canada,2012,34.166666666666664,44.083333333333336,55.916666666666664,12.083333333333334,8.333333333333334
Canada,2013,36.5,37.5,57.5,12.75,7.416666666666667
Canada,2014,39.833333333333336,32.25,53.333333333333336,12.666666666666666,6.916666666666667
Canada,2015,41.416666666666664,34.75,55.5,12.166666666666666,6.666666666666667
Canada,2016,45.833333333333336,29.75,56.75,12.0,6.083333333333333
Canada,2017,44.25,28.833333333333332,58.5,12.0,5.916666666666667
Canada,2018,45.916666666666664,25.25,52.5,11.333333333333334,6.083333333333333
Canada,2019,45.916666666666664,26.333333333333332,52.083333333333336,11.166666666666666,5.75
Canada,2020,49.166666666666664,9.666666666666666,29.0,6.25,2.5
Canada,2021,51.333333333333336,12.0,29.75,7.916666666666667,3.0833333333333335
Canada,2022,51.0,15.916666666666666,65.33333333333333,9.25,5.166666666666667
Canada,2023,52.083333333333336,19.583333333333332,75.58333333333333,9.333333333333334,5.333333333333333
Canada,2024,54.25,15.25,76.83333333333333,8.833333333333334,5.0
Canada,2025,54.8,10.6,67.4,8.8,4.8
Germany,2004,24.166666666666668,76.83333333333333,13.333333333333334,22.083333333333332,28.083333333333332
Germany,2005,24.833333333333332,73.58333333333333,13.25,19.416666666666668,28.083333333333332
Germany,2006,23.583333333333332,79.91666666666667,12.166666666666666,20.416666666666668,26.25
Germany,2007,23.0,77.83333333333333,11.916666666666666,19.0,25.5
Germany,2008,23.25,77.5,10.583333333333334,17.083333333333332,22.916666666666668
Germany,2009,22.083333333333332,80.58333333333333,10.666666666666666,18.083333333333332,22.0
Germany,2010,21.666666666666668,70.5,9.0,16.583333333333332,19.75
Germany,2011,25.833333333333332,83.75,11.083333333333334,18.583333333333332,23.0
Germany,2012,26.833333333333332,79.83333333333333,11.333333333333334,18.166666666666668,22.166666666666668
Germany,2013,27.416666666666668,73.75,11.666666666666666,17.916666666666668,21.583333333333332
Germany,2014,28.583333333333332,65.75,12.25,18.083333333333332,21.25
Germany,2015,29.333333333333332,76.16666666666667,13.583333333333334,19.083333333333332,20.833333333333332
Germany,2016,30.916666666666668,67.5,12.916666666666666,17.75,18.833333333333332
Germany,2017,31.583333333333332,70.83333333333333,13.916666666666666,19.25,19.25
Germany,2018,31.666666666666668,62.25,14.833333333333334,19.5,18.666666666666668
Germany,2019,33.25,71.16666666666667,15.666666666666666,20.833333333333332,18.5
Germany,2020,36.75,29.666666666666668,7.75,14.75,9.916666666666666
Germany,2021,34.833333333333336,30.166666666666668,7.5,15.5,8.916666666666666
Germany,2022,35.666666666666664,49.75,20.416666666666668,20.583333333333332,14.666666666666666
Germany,2023,37.166666666666664,59.583333333333336,23.75,23.25,17.25
Germany,2024,40.666666666666664,54.333333333333336,22.166666666666668,24.333333333333332,17.25
Germany,2025,41.2,47.4,18.4,22.8,16.2
Japan,2004,32.416666666666664,46.75,29.25,63.25,60.25
Japan,2005,28.0,41.916666666666664,30.0,56.166666666666664,59.25
Japan,2006,25.0,38.916666666666664,28.75,57.166666666666664,56.166666666666664
Japan,2007,25.0,37.75,29.25,62.083333333333336,63.75
