Country,Year,Score
Turkey,2006,36.900549929584194
Turkey,2007,37.13896923573046
Turkey,2008,40.34008977231044
Turkey,2009,38.9037226844293
Turkey,2010,36.17743249959349
Turkey,2011,34.832699830961396
Turkey,2012,36.29842199325806
Turkey,2013,36.202031339130826
Turkey,2014,34.94119467561686
Turkey,2015,33.23578726860778
Turkey,2016,33.20817022351872
Turkey,2017,33.037110676204776
Turkey,2018,33.2308051670479
Turkey,2019,33.134502139841736
Turkey,2020,31.816557203971065
Turkey,2021,31.31737465588139
Turkey,2022,31.659126027197306
Turkey,2023,30.825932931091298
Turkey,2024,31.297048352738745
Germany,2006,63.65220035428284
Germany,2007,63.0134704058719
Germany,2008,63.65691373287159
Germany,2009,64.52384575860876
Germany,2010,63.822893155634745
Germany,2011,65.11683865684772
Germany,2012,64.88009503471123
Germany,2013,64.39139100831436
Germany,2014,63.969053834833474
Germany,2015,64.30898627722516
Germany,2016,62.405111728270164
Germany,2017,62.514207205237255
Germany,2018,61.7908188375508
Germany,2019,61.644080115164215
Germany,2020,59.24787837250017
Germany,2021,58.85664730829333
Germany,2022,60.081497738020005
Germany,2023,60.631585874439736
Germany,2024,60.387888659318165
Japan,2006,65.00628159100529
Japan,2007,65.72736561657521
Japan,2008,66.31061277616753
Japan,2009,68.23129483010743
Japan,2010,69.3706514930067
Japan,2011,69.66851025309
Japan,2012,68.40640102823599
Japan,2013,65.88866988288292
Japan,2014,65.55986393837316
Japan,2015,65.23319511002077
Japan,2016,60.80383985669279
Japan,2017,60.80083961762891
Japan,2018,60.478745132786216
Japan,2019,60.60402318719761
Japan,2020,58.8747127637256
Japan,2021,59.19807713220935
Japan,2022,60.251922208438884
Japan,2023,60.07202575894976
Japan,2024,59.99315744249387
Brazil,2006,35.36179847237075
Brazil,2007,34.66117072916086
Brazil,2008,36.19225168087024
Brazil,2009,38.24362062015447
Brazil,2010,38.02204745111171
Brazil,2011,34.957224343443315
Brazil,2012,35.72821969227092
Brazil,2013,37.8797403353017
Brazil,2014,37.968458885871314
Brazil,2015,38.02048471272608
Brazil,2016,38.472518407571165
Brazil,2017,37.81451505580303
Brazil,2018,37.70420122677501
Brazil,2019,37.29515378954383
Brazil,2020,35.50249835321936
Brazil,2021,35.42848593702236
Brazil,2022,35.46452564348145
Brazil,2023,35.78269088858116
Brazil,2024,36.09818383574694
Poland,2006,46.761688020251114
Poland,2007,46.9460519936752
Poland,2008,49.28158487490183
Poland,2009,50.742864095408635
Poland,2010,52.09103339154286
Poland,2011,53.819489610653946
Poland,2012,54.9025154822454
Poland,2013,54.696164614772755
Poland,2014,54.52031510697026
Poland,2015,54.21522913614527
Poland,2016,48.75953628914361
Poland,2017,48.54190517211272
Poland,2018,48.487204164970684
Poland,2019,48.16744288117261
Poland,2020,46.1727046230409
Poland,2021,46.2885863663311
Poland,2022,46.683112562821826
Poland,2023,47.52054350165789
Poland,2024,47.50699125637624
United Kingdom,2006,63.08196441792644
United Kingdom,2007,62.44779862727374
United Kingdom,2008,61.392811759785715
United Kingdom,2009,61.48755985448348
United Kingdom,2010,60.162238889348636
United Kingdom,2011,60.66909239718428
United Kingdom,2012,59.47909370024621
United Kingdom,2013,60.11982556742615
United Kingdom,2014,60.729513685982404
United Kingdom,2015,61.13738713554372
United Kingdom,2016,61.76845067755592
United Kingdom,2017,61.77432970477458
United Kingdom,2018,61.783747614146705
United Kingdom,2019,60.98703489356172
United Kingdom,2020,59.39275801381732
United Kingdom,2021,60.240256986929516
United Kingdom,2022,60.174724529403846
United Kingdom,2023,60.02166493498831
United Kingdom,2024,60.00883019745037
Canada,2006,66.70537185293546
Canada,2007,66.76775290057932
Canada,2008,66.9039128981164
Canada,2009,66.8166286041515
Canada,2010,65.64976199996423
Canada,2011,66.1694794013012
Canada,2012,64.83865810115233
Canada,2013,63.40055374613851
Canada,2014,63.31719831392541
Canada,2015,63.68651969325167
Canada,2016,61.716303687861284
Canada,2017,61.36528667114477
Canada,2018,60.94674173016266
Canada,2019,60.18274642118402
Canada,2020,58.39964029416723
Canada,2021,58.29324637309539
Canada,2022,59.233480730598195
Canada,2023,60.09378012347433
Canada,2024,59.71619343306534
Jordan,2006,33.391820066437745
Jordan,2007,30.515510419618586
Jordan,2008,31.18544943171294
Jordan,2009,32.75829087964799
Jordan,2010,30.37979109069081
Jordan,2011,27.878149996836864
Jordan,2012,28.165664199715362
Jordan,2013,27.472133932959586
Jordan,2014,27.96375639911061
Jordan,2015,28.50348999827912
Jordan,2016,26.66433228583272
Jordan,2017,27.451389399078664
Jordan,2018,27.81839827705272
Jordan,2019,27.25312253480776
Jordan,2020,27.349116808828622
Jordan,2021,26.69429379869289
Jordan,2022,25.860954551140654
Jordan,2023,26.228710987702478
Jordan,2024,26.526734793883698
Sweden,2006,64.28729674668753
Sweden,2007,63.79278784666673
Sweden,2008,63.6490806531
Sweden,2009,64.06598887347823
Sweden,2010,63.28169371031977
Sweden,2011,62.53391286650518
Sweden,2012,60.96168887547986
Sweden,2013,61.271272155191994
Sweden,2014,61.23286426457486
Sweden,2015,62.332156332419345
Sweden,2016,61.264797659436425
Sweden,2017,61.84235231117607
Sweden,2018,62.14931548213514
Sweden,2019,61.48822766367107
Sweden,2020,59.43705268880785
Sweden,2021,59.56242815146061
Sweden,2022,59.969543557796726
Sweden,2023,60.678238747319796
Sweden,2024,60.765223070361515
South Korea,2006,54.994102822143695
South Korea,2007,54.15548278984032
South Korea,2008,55.74104536220358
South Korea,2009,54.78381328632983
South Korea,2010,56.15529688503261
South Korea,2011,56.2037311163394
South Korea,2012,56.94177717497263
South Korea,2013,57.46368875169074
South Korea,2014,56.81503825452776
South Korea,2015,55.805268058676646
South Korea,2016,52.47465474410533
South Korea,2017,53.309308526499876
South Korea,2018,54.68048466447283
South Korea,2019,55.050548098461896
South Korea,2020,54.565487386248066
South Korea,2021,54.01961332581812
South Korea,2022,53.73098592450122
South Korea,2023,53.100757236711615
South Korea,2024,52.91643860433256
Malaysia,2006,35.73148187526914
Malaysia,2007,32.57826340053433
Malaysia,2008,31.713534606837037
Malaysia,2009,31.20951488178903
Malaysia,2010,29.09617032944064
Malaysia,2011,30.3380318822402
Malaysia,2012,31.242638447939587
Malaysia,2013,31.81883059808022
Malaysia,2014,33.061042001885355
Malaysia,2015,33.78026064910064
Malaysia,2016,31.247865834633995
Malaysia,2017,30.717966865447483
Malaysia,2018,30.628015394601356
Malaysia,2019,32.74782294950586
Malaysia,2020,32.633821114212054
Malaysia,2021,32.640069913348114
Malaysia,2022,31.617001444751782
Malaysia,2023,34.00274797601762
Malaysia,2024,33.83614827655466
