Kategori: Tüm kategoriler

Ay,حفلة موسيقية: (Ürdün),سينما: (Ürdün),متحف: (Ürdün),كتاب: (Ürdün),مسرح: (Ürdün)
2021-04,0,4,1,42,1
2021-05,0,4,2,32,1
2021-06,0,6,4,41,2
2021-07,0,11,3,29,1
2021-08,0,10,3,33,2
2021-09,0,8,2,67,2
2021-10,0,8,2,67,1
2021-11,0,7,2,68,2
2021-12,0,8,2,45,2
2022-01,0,9,2,37,1
2022-02,0,7,2,55,1
2022-03,0,6,3,78,2
2022-04,0,4,2,63,1
2022-05,0,7,3,62,2
2022-06,0,6,3,59,2
2022-07,0,15,3,42,2
2022-08,0,9,3,43,1
2022-09,0,7,2,85,1
2022-10,0,7,2,92,1
2022-11,0,5,2,77,1
2022-12,0,6,2,59,1
2023-01,0,9,2,45,1
2023-02,0,7,2,77,1
2023-03,0,5,2,76,1
2023-04,0,6,2,55,1
2023-05,0,7,3,70,1
2023-06,0,8,2,61,1
2023-07,0,15,3,58,1
2023-08,0,10,2,57,1
2023-09,0,8,2,98,1
2023-10,0,5,2,88,1
2023-11,0,5,2,88,1
2023-12,0,6,2,78,1
2024-01,0,8,2,55,1
2024-02,0,6,2,93,1
2024-03,0,4,2,74,1
2024-04,0,5,3,67,1
2024-05,0,5,3,72,1
2024-06,0,11,3,56,1
2024-07,0,13,4,48,1
2024-08,0,8,3,56,1
2024-09,0,6,2,93,1
2024-10,0,6,3,100,1
2024-11,0,7,3,98,1
2024-12,0,8,2,83,1
2025-01,0,9,2,59,1
2025-02,0,6,2,90,1
2025-03,0,4,1,73,1
2025-04,0,6,3,78,1
2025-05,0,6,2,73,1
