Kategori: Tüm kategoriler

Ay,حفلة موسيقية: (Mısır),سينما: (Mısır),متحف: (Mısır),كتاب: (Mısır),مسرح: (Mısır)
2021-04,0,15,5,48,5
2021-05,0,19,2,39,4
2021-06,0,15,2,39,5
2021-07,0,23,2,36,5
2021-08,0,21,2,41,5
2021-09,0,19,2,49,5
2021-10,0,16,2,57,4
2021-11,0,13,2,63,5
2021-12,0,18,2,56,5
2022-01,0,17,2,68,5
2022-02,<1,15,2,72,4
2022-03,<1,12,2,74,5
2022-04,0,11,1,56,2
2022-05,0,18,2,55,3
2022-06,0,13,2,42,3
2022-07,0,27,2,38,3
2022-08,0,16,2,56,3
2022-09,0,16,2,60,3
2022-10,0,16,2,78,3
2022-11,0,17,2,70,3
2022-12,0,18,2,67,3
2023-01,<1,22,2,62,3
2023-02,<1,23,2,79,3
2023-03,0,20,2,71,3
2023-04,0,30,2,57,2
2023-05,0,24,2,59,2
2023-06,0,32,2,41,2
2023-07,0,44,2,43,3
2023-08,0,32,2,77,3
2023-09,0,32,2,79,3
2023-10,0,24,2,82,3
2023-11,0,25,2,72,2
2023-12,0,29,2,71,2
2024-01,0,30,2,65,2
2024-02,0,23,2,90,3
2024-03,0,16,2,60,2
2024-04,0,23,2,57,2
2024-05,0,19,2,53,2
2024-06,0,40,1,36,2
2024-07,0,24,2,39,2
2024-08,0,20,2,65,2
2024-09,0,21,2,78,2
2024-10,0,19,2,91,2
2024-11,0,23,2,81,2
2024-12,0,24,2,79,2
2025-01,0,24,2,69,2
2025-02,0,17,2,90,2
2025-03,0,19,1,64,1
2025-04,0,21,2,69,2
2025-05,<1,14,1,69,2
