,Country,Year,Score Education,Score Culture,Score Freedom,Score Science,Score Ethic
0,Turkey,2006,41.0,18.7333333333333,77.4193548387097,9.350061475877958,38.0
1,Turkey,2007,44.66666666666649,16.7,73.2456140350877,10.082565476898097,41.0
2,Turkey,2008,48.33333333333351,19.3333333333333,77.8645833333333,10.169198861552086,46.0
3,Turkey,2009,52.0,20.35,66.8831168831169,11.285496539029602,44.0
4,Turkey,2010,53.33333333333351,19.2166666666667,53.0952380952381,11.24192440272916,44.0
5,Turkey,2011,54.66666666666649,18.8666666666667,47.3684210526316,11.261744768842185,42.0
6,Turkey,2012,56.00000000000001,17.95,47.3684210526316,11.173688913658678,49.0
7,Turkey,2013,49.66666666666649,17.2333333333333,57.976,10.965440182609695,50.97913415962718
8,Turkey,2014,43.33333333333351,19.2333333333333,57.652,11.31859019837285,48.1769766592176
9,Turkey,2015,37.0,19.8666666666667,55.336,12.007553163327538,44.6921470602369
10,Turkey,2016,39.9472,20.45,51.496,12.578934604548955,42.57633878664399
11,Turkey,2017,45.4508,24.3,41.608,12.658036867979227,41.16871651304464
12,Turkey,2018,48.84839999999999,24.95,37.8,12.986909322194858,41.56871651304464
13,Turkey,2019,48.7884,26.7166666666667,37.476,11.922727519497316,41.2766861010291
14,Turkey,2020,49.3252,17.1333333333333,39.192,12.263536173477371,41.7554098019719
15,Turkey,2021,49.1362,15.3833333333333,39.284000000000006,12.41462343302899,40.31135269799012
16,Turkey,2022,48.8836,22.45,35.7,11.693313622941895,39.41439169888032
17,Turkey,2023,49.708605479452,21.1333333333333,32.788,11.731009329626538,38.42919566988574
18,Turkey,2024,52.04407835616452,21.3833333333333,32.44,11.84911356115126,38.5324448857252
19,Turkey,2025,52.94303123287671,20.12,31.56,,
20,Germany,2006,77.5,32.4666666666667,95.3917050691244,32.9026300356231,80.0
21,Germany,2007,78.33333333333351,31.45,95.6140350877193,31.66998360830668,78.0
22,Germany,2008,79.16666666666649,30.2666666666667,96.875,32.97623533102474,79.0
23,Germany,2009,80.0,30.6833333333333,96.969696969697,34.966198490013475,80.0
24,Germany,2010,80.83333333333351,27.5,95.952380952381,35.82875149245919,79.0
25,Germany,2011,81.66666666666652,32.45,95.3947368421053,36.07278977546677,80.0
26,Germany,2012,82.5,31.6666666666667,95.3947368421053,35.83907166478418,79.0
27,Germany,2013,81.33333333333348,30.4666666666667,93.504,35.30140565505027,78.66303979786505
28,Germany,2014,80.16666666666649,29.1833333333333,93.508,35.235719787646325,79.31066065834618
29,Germany,2015,79.0,31.8,93.012,35.18138199960456,82.00940073826811
30,Germany,2016,74.9359999999999,29.5833333333333,91.08,33.874675921496376,82.56022324749594
31,Germany,2017,74.1384000000001,30.9666666666667,91.012,33.90241997299819,82.55154938652126
32,Germany,2018,73.2098,29.3833333333333,90.644,33.56541146789942,82.15154938652125
33,Germany,2019,72.94,31.8833333333333,90.56,30.685517855966488,82.11535463287225
34,Germany,2020,72.1588,19.7666666666667,91.536,30.626375809312915,82.17865093484066
35,Germany,2021,71.8334,19.3833333333333,90.304,30.61095382161211,82.37204118609901
36,Germany,2022,71.4716,28.2166666666667,89.21600000000001,29.751672636912065,81.65559400070097
37,Germany,2023,70.8293232876714,32.2,89.164,29.613056698005963,81.2676477561732
38,Germany,2024,71.0163430136985,31.75,89.336,29.68555089637104,80.05727077672302
39,Germany,2025,70.2782427397259,29.2,90.54,,
40,Japan,2006,83.5,41.2,88.9400921658986,35.39131578912788,76.0
41,Japan,2007,85.5,43.5666666666667,90.3508771929825,34.21928422322689,75.0
42,Japan,2008,87.5,41.8333333333333,94.7916666666667,34.42806388083764,73.0
43,Japan,2009,89.5,42.5166666666667,97.1861471861472,34.953660297723204,77.0
44,Japan,2010,91.33333333333348,44.6166666666667,97.6190476190476,35.2842098459857,78.0
45,Japan,2011,93.16666666666652,45.4166666666667,94.0789473684211,35.680270563695686,80.0
46,Japan,2012,95.0,44.4833333333333,94.0789473684211,34.46972443942557,74.0
47,Japan,2013,93.16666666666652,41.6666666666667,82.732,35.03731003191287,77.95744366737055
48,Japan,2014,91.33333333333348,40.1166666666667,83.592,35.11661364269705,77.15493229751416
49,Japan,2015,89.5,40.1666666666667,85.62,33.6386028342686,77.32900573535568
50,Japan,2016,73.90299999999999,36.6166666666667,86.13199999999999,31.32682656762872,75.69433036797179
51,Japan,2017,73.9602,36.7333333333333,85.824,31.04595870564272,76.4407060491685
52,Japan,2018,73.5642,35.6,86.14399999999999,30.644819614762625,76.4407060491685
53,Japan,2019,74.787,38.6,85.856,27.336409886819546,75.98502406207415
54,Japan,2020,75.7828,27.95,86.056,27.744057769459523,76.37470270128536
55,Japan,2021,77.2676,28.4666666666667,86.048,27.767412945211536,76.35624472910789
56,Japan,2022,78.2086,35.6833333333333,83.348,27.578971659692627,76.34379942620097
57,Japan,2023,76.2939205479452,37.0,83.17999999999999,27.44550219763507,76.34697925525265
58,Japan,2024,79.79256383561632,34.55,82.448,27.53451732768454,75.58081347683643
59,Japan,2025,79.72140712328769,35.48,82.856,,
60,Brazil,2006,17.0,28.1333333333333,84.6359447004608,14.039714328059633,33.0
61,Brazil,2007,19.83333333333352,25.7333333333333,78.5087719298246,14.23041504931284,35.0
62,Brazil,2008,22.666666666666487,25.7166666666667,82.8125,14.765425071018,35.0
63,Brazil,2009,25.5,27.3666666666667,86.2554112554113,15.096025178694354,37.0
64,Brazil,2010,25.666666666666487,27.6,84.1904761904762,15.653094398415853,37.0
65,Brazil,2011,25.83333333333352,25.2833333333333,70.1776315789474,15.491823471602324,38.0
66,Brazil,2012,26.0,24.4666666666667,70.1776315789474,14.996800215740484,43.0
67,Brazil,2013,24.83333333333352,24.55,75.5,15.44015199688672,51.40750811389231
68,Brazil,2014,23.666666666666487,25.7833333333333,74.988,15.929078083068546,49.87741555461429
69,Brazil,2015,22.5,27.8,75.828,16.499207217342164,48.35727614027558
70,Brazil,2016,26.50260000000011,26.6666666666667,75.55199999999999,15.366109024900805,49.52568808632466
71,Brazil,2017,27.34799999999989,26.65,73.968,14.031358932727027,47.07521634628822
72,Brazil,2018,28.2864,25.5333333333333,74.32,14.106056454253558,46.27521634628822
73,Brazil,2019,28.9854,26.25,71.884,13.081152601430931,45.8336035842044
74,Brazil,2020,29.3014,16.5666666666667,71.38,12.78920875314186,46.10540899399394
75,Brazil,2021,29.9924,16.8666666666667,69.9,12.908146672156851,45.20808420782126
76,Brazil,2022,29.9002,21.4333333333333,65.944,12.569878537785742,44.85594507419012
77,Brazil,2023,29.7267315068492,23.35,66.668,12.49350658976836,43.79694547005852
78,Brazil,2024,31.799400547945293,23.6833333333333,66.636,12.496968951167876,43.4435366409004
79,Brazil,2025,31.83618958904111,22.04,68.72,,
80,Poland,2006,75.0,24.1,87.5576036866359,10.150836414619658,37.0
81,Poland,2007,75.16666666666649,23.1666666666667,84.4298245614035,9.9671020736393,42.0
82,Poland,2008,75.33333333333351,22.55,92.1875,10.337091041175642,46.0
83,Poland,2009,75.5,25.4,91.7748917748918,11.03942870215136,50.0
84,Poland,2010,78.83333333333351,25.4666666666667,91.5428571428571,11.612309814856957,53.0
85,Poland,2011,82.16666666666652,26.2,93.8618421052632,11.868939281340005,55.0
86,Poland,2012,85.5,24.5333333333333,93.8618421052632,12.617401972630464,58.0
87,Poland,2013,82.66666666666652,23.2666666666667,90.556,12.492227790883865,66.9372881888932
88,Poland,2014,79.83333333333351,23.4666666666667,91.388,13.014313585204388,64.89153033516274
89,Poland,2015,77.0,24.4,90.716,13.26088373107965,68.49545711070192
90,Poland,2016,56.00104155844156,23.65,86.244,12.603377937629828,67.87177841487656
91,Poland,2017,58.0654,24.5,82.812,12.832863910916917,64.49926194964668
92,Poland,2018,58.8986,25.05,80.364,13.624158875206714,64.49926194964668
93,Poland,2019,59.0028,26.3333333333333,78.844,12.957819122883064,63.06831865070644
94,Poland,2020,59.937000000000005,15.75,78.94,13.337261165557756,61.81543821072985
95,Poland,2021,60.5778,16.7833333333333,77.66399999999999,13.518536548675552,60.87610103486264
96,Poland,2022,61.8176,21.05,74.856,13.192700864462427,60.57791332346188
97,Poland,2023,63.593797260274,23.0666666666667,75.664,13.178991631702043,59.93465788558254
98,Poland,2024,63.87110082191792,23.1166666666667,75.668,13.179926843649865,60.7625887916528
99,Poland,2025,64.35912438356179,21.44,79.116,,
100,United Kingdom,2006,76.0,30.8,94.4700460829493,28.13977600668292,86.0
101,United Kingdom,2007,75.66666666666649,31.4833333333333,93.421052631579,27.6679405047899,84.0
102,United Kingdom,2008,75.33333333333351,31.0666666666667,95.8333333333333,27.73072546559509,77.0
103,United Kingdom,2009,75.0,30.0333333333333,96.5367965367965,28.86766940228757,77.0
104,United Kingdom,2010,75.5,25.9666666666667,94.2857142857143,29.05881349436214,76.0
